BA Flight,STA / STD,DOW,Origin,Destination,Inbound / Outbound
BA 8721,08:15,Friday,GLA,LCY,Inbound
BA 8723,08:50,Friday,GLA,LCY,Inbound
BA 8739,10:15,Friday,GLA,LCY,Inbound
BA 8725,12:10,Friday,GLA,LCY,Inbound
BA 2211,15:30,Friday,GLA,LCY,Inbound
BA 8727,17:30,Friday,GLA,LCY,Inbound
BA 2213,19:00,Friday,GLA,LCY,Inbound
BA 8729,20:20,Friday,GLA,LCY,Inbound
BA 2215,21:15,Friday,GLA,LCY,Inbound
BA 8720,07:05,Friday,LCY,GLA,Outbound
BA 8722,08:50,Friday,LCY,GLA,Outbound
BA 2210,09:20,Friday,LCY,GLA,Outbound
BA 8726,14:20,Friday,LCY,GLA,Outbound
BA 2212,15:50,Friday,LCY,GLA,Outbound
BA 8724,17:00,Friday,LCY,GLA,Outbound
BA 8728,18:00,Friday,LCY,GLA,Outbound
BA 2214,19:30,Friday,LCY,GLA,Outbound
BA 8730,20:30,Friday,LCY,GLA,Outbound
BA 3281,08:10,Friday,IOM,LCY,Inbound
BA 3285,15:50,Friday,IOM,LCY,Inbound
BA 3287,19:30,Friday,IOM,LCY,Inbound
BA 3282,08:40,Friday,LCY,IOM,Outbound
BA 3286,16:30,Friday,LCY,IOM,Outbound
BA 3288,20:00,Friday,LCY,IOM,Outbound
